studyid,workflowid,groupid,n,numerator,denominator,metric,score,flag
AA-AA-000-0000,kri0002,X083X,20,6,26984,0.000222354,2.375502989,0
AA-AA-000-0000,kri0002,X119X,1,1,4832,0.000206954,0.920215161,0
AA-AA-000-0000,kri0002,X150X,3,1,5508,0.000181554,0.824122718,0
AA-AA-000-0000,kri0002,X014X,2,1,5637,0.000177399,0.806766585,0
AA-AA-000-0000,kri0002,X093X,7,1,5668,0.000176429,0.802638365,0
AA-AA-000-0000,kri0002,X140X,25,4,23645,0.000169169,1.538836916,0
AA-AA-000-0000,kri0002,X085X,12,2,12329,0.000162219,1.043587116,0
AA-AA-000-0000,kri0002,X055X,43,8,50728,0.000157704,2.021335308,0
AA-AA-000-0000,kri0002,X141X,15,4,26082,0.000153362,1.387084176,0
AA-AA-000-0000,kri0002,X027X,4,1,6667,0.000149993,0.677480297,0
AA-AA-000-0000,kri0002,X159X,8,1,7207,0.000138754,0.615315146,0
AA-AA-000-0000,kri0002,X015X,3,1,8125,0.000123077,0.516772696,0
AA-AA-000-0000,kri0002,X230X,9,2,16945,0.000118029,0.67986989,0
AA-AA-000-0000,kri0002,X029X,7,1,8724,0.000114626,0.456604414,0
AA-AA-000-0000,kri0002,X175X,5,1,8775,0.00011396,0.451615862,0
AA-AA-000-0000,kri0002,X114X,7,1,9248,0.000108131,0.40627961,0
AA-AA-000-0000,kri0002,X174X,5,1,10920,9.16E-05,0.257783009,0
AA-AA-000-0000,kri0002,X128X,58,11,122512,8.98E-05,0.785238472,0
AA-AA-000-0000,kri0002,X010X,28,2,22559,8.87E-05,0.32114549,0
AA-AA-000-0000,kri0002,X203X,7,1,12256,8.16E-05,0.149938241,0
AA-AA-000-0000,kri0002,X090X,36,6,73539,8.16E-05,0.36173538,0
AA-AA-000-0000,kri0002,X098X,11,2,24757,8.08E-05,0.197415503,0
AA-AA-000-0000,kri0002,X086X,33,4,58066,6.89E-05,-0.035137907,0
AA-AA-000-0000,kri0002,X082X,10,1,14558,6.87E-05,-0.018626428,0
AA-AA-000-0000,kri0002,X236X,17,2,30030,6.66E-05,-0.071911471,0
AA-AA-000-0000,kri0002,X204X,7,1,15107,6.62E-05,-0.056155272,0
AA-AA-000-0000,kri0002,X231X,15,1,16032,6.24E-05,-0.117393195,0
AA-AA-000-0000,kri0002,X130X,33,4,67605,5.92E-05,-0.349526224,0
AA-AA-000-0000,kri0002,X038X,6,1,17889,5.59E-05,-0.233637054,0
AA-AA-000-0000,kri0002,X154X,7,1,18593,5.38E-05,-0.275633854,0
AA-AA-000-0000,kri0002,X081X,13,1,21240,4.71E-05,-0.42488067,0
AA-AA-000-0000,kri0002,X193X,7,1,21607,4.63E-05,-0.44460487,0
AA-AA-000-0000,kri0002,X235X,9,1,23572,4.24E-05,-0.546710614,0
AA-AA-000-0000,kri0002,X126X,28,2,48002,4.17E-05,-0.80518715,0
AA-AA-000-0000,kri0002,X033X,15,1,24047,4.16E-05,-0.570567921,0
AA-AA-000-0000,kri0002,X021X,20,1,25907,3.86E-05,-0.661202844,0
AA-AA-000-0000,kri0002,X129X,12,1,31910,3.13E-05,-0.928351944,0
AA-AA-000-0000,kri0002,X201X,23,1,34949,2.86E-05,-1.051666662,0
AA-AA-000-0000,kri0002,X169X,28,1,35312,2.83E-05,-1.065944972,0
AA-AA-000-0000,kri0002,X013X,20,1,36240,2.76E-05,-1.102039532,0
AA-AA-000-0000,kri0002,X192X,27,1,37624,2.66E-05,-1.154826272,0
AA-AA-000-0000,kri0002,X040X,22,0,42974,0,-2.454175585,0
AA-AA-000-0000,kri0002,X168X,17,0,26593,0,-1.929969901,0
AA-AA-000-0000,kri0002,X018X,11,0,25476,0,-1.888949473,0
AA-AA-000-0000,kri0002,X072X,7,0,17830,0,-1.579899159,0
AA-AA-000-0000,kri0002,X133X,17,0,17518,0,-1.565997122,0
AA-AA-000-0000,kri0002,X054X,9,0,16518,0,-1.520585306,0
AA-AA-000-0000,kri0002,X053X,10,0,16419,0,-1.516015732,0
AA-AA-000-0000,kri0002,X110X,4,0,16359,0,-1.513239595,0
AA-AA-000-0000,kri0002,X185X,5,0,16341,0,-1.512405763,0
AA-AA-000-0000,kri0002,X131X,7,0,16204,0,-1.506044285,0
AA-AA-000-0000,kri0002,X144X,4,0,15920,0,-1.492770868,0
AA-AA-000-0000,kri0002,X226X,9,0,15733,0,-1.483966325,0
AA-AA-000-0000,kri0002,X058X,7,0,15533,0,-1.474491671,0
AA-AA-000-0000,kri0002,X025X,12,0,15197,0,-1.458436058,0
AA-AA-000-0000,kri0002,X166X,5,0,14735,0,-1.436067295,0
AA-AA-000-0000,kri0002,X068X,16,0,14654,0,-1.432109596,0
AA-AA-000-0000,kri0002,X199X,9,0,13526,0,-1.375815432,0
AA-AA-000-0000,kri0002,X151X,6,0,13222,0,-1.360246528,0
AA-AA-000-0000,kri0002,X137X,7,0,12792,0,-1.337916209,0
AA-AA-000-0000,kri0002,X224X,5,0,12638,0,-1.329827888,0
AA-AA-000-0000,kri0002,X143X,5,0,12317,0,-1.312808706,0
AA-AA-000-0000,kri0002,X148X,4,0,11273,0,-1.255867024,0
AA-AA-000-0000,kri0002,X084X,10,0,9922,0,-1.178114159,0
AA-AA-000-0000,kri0002,X152X,5,0,9881,0,-1.175674346,0
AA-AA-000-0000,kri0002,X059X,12,0,9857,0,-1.174243816,0
AA-AA-000-0000,kri0002,X094X,5,0,9787,0,-1.170061475,0
AA-AA-000-0000,kri0002,X073X,3,0,9606,0,-1.159177366,0
AA-AA-000-0000,kri0002,X214X,3,0,9400,0,-1.146664563,0
AA-AA-000-0000,kri0002,X088X,3,0,9360,0,-1.144219069,0
AA-AA-000-0000,kri0002,X217X,6,0,9151,0,-1.131355628,0
AA-AA-000-0000,kri0002,X156X,2,0,8542,0,-1.093012557,0
AA-AA-000-0000,kri0002,X002X,9,0,8520,0,-1.091602282,0
AA-AA-000-0000,kri0002,X209X,8,0,8339,0,-1.07992985,0
AA-AA-000-0000,kri0002,X109X,5,0,8273,0,-1.075642173,0
AA-AA-000-0000,kri0002,X179X,4,0,8200,0,-1.070879799,0
AA-AA-000-0000,kri0002,X065X,3,0,8047,0,-1.060829208,0
AA-AA-000-0000,kri0002,X097X,5,0,7881,0,-1.049816104,0
AA-AA-000-0000,kri0002,X016X,5,0,7730,0,-1.03969711,0
AA-AA-000-0000,kri0002,X212X,5,0,7529,0,-1.026073048,0
AA-AA-000-0000,kri0002,X064X,3,0,7523,0,-1.025663585,0
AA-AA-000-0000,kri0002,X061X,2,0,7507,0,-1.024570886,0
AA-AA-000-0000,kri0002,X009X,6,0,7370,0,-1.015166628,0
AA-AA-000-0000,kri0002,X107X,3,0,7070,0,-0.994263579,0
AA-AA-000-0000,kri0002,X115X,2,0,6673,0,-0.965908584,0
AA-AA-000-0000,kri0002,X116X,2,0,6666,0,-0.96540117,0
AA-AA-000-0000,kri0002,X023X,2,0,6418,0,-0.947249292,0
AA-AA-000-0000,kri0002,X070X,4,0,6213,0,-0.931978556,0
AA-AA-000-0000,kri0002,X219X,3,0,5705,0,-0.893015339,0
AA-AA-000-0000,kri0002,X186X,2,0,5545,0,-0.880387396,0
AA-AA-000-0000,kri0002,X121X,3,0,5524,0,-0.878716542,0
AA-AA-000-0000,kri0002,X103X,3,0,5476,0,-0.874885495,0
AA-AA-000-0000,kri0002,X057X,5,0,5317,0,-0.862073876,0
AA-AA-000-0000,kri0002,X153X,8,0,5246,0,-0.856291222,0
AA-AA-000-0000,kri0002,X037X,8,0,5206,0,-0.85301617,0
AA-AA-000-0000,kri0002,X207X,3,0,5055,0,-0.840538149,0
AA-AA-000-0000,kri0002,X043X,1,0,4916,0,-0.828886169,0
AA-AA-000-0000,kri0002,X031X,2,0,4807,0,-0.819633441,0
AA-AA-000-0000,kri0002,X124X,4,0,4800,0,-0.819035666,0
AA-AA-000-0000,kri0002,X161X,2,0,4725,0,-0.812603416,0
AA-AA-000-0000,kri0002,X020X,1,0,4509,0,-0.793788144,0
AA-AA-000-0000,kri0002,X044X,4,0,4374,0,-0.781799295,0
AA-AA-000-0000,kri0002,X089X,4,0,4365,0,-0.780993512,0
AA-AA-000-0000,kri0002,X076X,2,0,4296,0,-0.774788074,0
AA-AA-000-0000,kri0002,X117X,4,0,4237,0,-0.769442389,0
AA-AA-000-0000,kri0002,X024X,1,0,4121,0,-0.758822718,0
AA-AA-000-0000,kri0002,X225X,1,0,4022,0,-0.749640716,0
AA-AA-000-0000,kri0002,X011X,1,0,3773,0,-0.72603481,0
AA-AA-000-0000,kri0002,X196X,5,0,3766,0,-0.725360117,0
AA-AA-000-0000,kri0002,X228X,1,0,3745,0,-0.723332274,0
AA-AA-000-0000,kri0002,X195X,2,0,3703,0,-0.719259481,0
AA-AA-000-0000,kri0002,X122X,1,0,3694,0,-0.718383743,0
AA-AA-000-0000,kri0002,X194X,3,0,3678,0,-0.716824242,0
AA-AA-000-0000,kri0002,X191X,1,0,3653,0,-0.714380723,0
AA-AA-000-0000,kri0002,X234X,2,0,3459,0,-0.695127905,0
AA-AA-000-0000,kri0002,X105X,5,0,3404,0,-0.689572098,0
AA-AA-000-0000,kri0002,X028X,2,0,3171,0,-0.665522822,0
AA-AA-000-0000,kri0002,X099X,4,0,3150,0,-0.66331257,0
AA-AA-000-0000,kri0002,X008X,1,0,3125,0,-0.660671703,0
AA-AA-000-0000,kri0002,X113X,1,0,3053,0,-0.653006491,0
AA-AA-000-0000,kri0002,X063X,3,0,3047,0,-0.652363668,0
AA-AA-000-0000,kri0002,X164X,5,0,3045,0,-0.652149254,0
AA-AA-000-0000,kri0002,X135X,1,0,3023,0,-0.649786036,0
AA-AA-000-0000,kri0002,X049X,3,0,2730,0,-0.617452797,0
AA-AA-000-0000,kri0002,X202X,4,0,2690,0,-0.612906745,0
AA-AA-000-0000,kri0002,X222X,1,0,2645,0,-0.607751896,0
AA-AA-000-0000,kri0002,X048X,4,0,2302,0,-0.566926586,0
AA-AA-000-0000,kri0002,X232X,5,0,2180,0,-0.551679689,0
AA-AA-000-0000,kri0002,X123X,3,0,2131,0,-0.5454363,0
AA-AA-000-0000,kri0002,X035X,3,0,2018,0,-0.530759125,0
AA-AA-000-0000,kri0002,X120X,3,0,2013,0,-0.530100329,0
AA-AA-000-0000,kri0002,X017X,3,0,2010,0,-0.529704659,0
AA-AA-000-0000,kri0002,X075X,2,0,1918,0,-0.517424277,0
AA-AA-000-0000,kri0002,X132X,3,0,1913,0,-0.516748526,0
AA-AA-000-0000,kri0002,X145X,3,0,1747,0,-0.493790256,0
AA-AA-000-0000,kri0002,X071X,2,0,1568,0,-0.467776597,0
AA-AA-000-0000,kri0002,X112X,3,0,1568,0,-0.467776597,0
AA-AA-000-0000,kri0002,X078X,3,0,1567,0,-0.467627215,0
AA-AA-000-0000,kri0002,X030X,1,0,1466,0,-0.45228627,0
AA-AA-000-0000,kri0002,X227X,3,0,1372,0,-0.437526854,0
AA-AA-000-0000,kri0002,X157X,2,0,1355,0,-0.434804246,0
AA-AA-000-0000,kri0002,X197X,2,0,1349,0,-0.433839256,0
AA-AA-000-0000,kri0002,X125X,2,0,1344,0,-0.43303346,0
AA-AA-000-0000,kri0002,X160X,1,0,911,0,-0.356427269,0
AA-AA-000-0000,kri0002,X181X,3,0,910,0,-0.356231336,0
AA-AA-000-0000,kri0002,X034X,2,0,904,0,-0.355053474,0
AA-AA-000-0000,kri0002,X206X,1,0,685,0,-0.309012681,0
AA-AA-000-0000,kri0002,X216X,1,0,679,0,-0.3076546,0
AA-AA-000-0000,kri0002,X223X,2,0,676,0,-0.306973312,0
AA-AA-000-0000,kri0002,X080X,1,0,673,0,-0.306290513,0
AA-AA-000-0000,kri0002,X167X,1,0,661,0,-0.303543998,0
AA-AA-000-0000,kri0002,X036X,1,0,560,0,-0.279362424,0
